timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score
2026/3/2 2:41,9.68,81,0,5.66,18.8,45,6.3,Core,3
2026/3/2 2:56,9.72,81,0,5.66,18.7,46,6.3,Deep,4
2026/3/2 3:11,9.64,80,0,4.63,18.7,46,6.3,Core,3
2026/3/2 3:26,9.61,80,0,4.63,18.7,46,6.3,Deep,4
2026/3/2 3:41,9.52,81,0,5.14,18.6,46,6.3,Core,3
2026/3/2 3:56,9.5,81,0,5.14,18.6,46,6.3,REM,2
2026/3/2 4:11,9.48,81,0,4.63,18.6,47,6.3,Core,3
2026/3/2 4:26,9.3,81,0,4.63,18.5,47,6.3,Deep,4
2026/3/2 4:41,9.46,81,0,5.14,18.5,47,6.3,Core,3
2026/3/2 4:56,9.35,81,0,5.14,18.6,47,6.3,Deep,4
2026/3/2 5:11,9.21,81,0,4.12,18.6,47,6.3,Core,3
2026/3/2 5:26,9.08,81,0,4.12,18.6,47,6.3,REM,2
2026/3/2 5:41,8.96,81,0,3.13,18.7,47,6.3,Core,3
2026/3/2 5:56,8.94,81,0,2.68,18.7,48,6.3,REM,2
2026/3/2 6:11,8.87,81,0,3.6,18.7,48,6.3,Core,3
2026/3/2 6:26,8.87,81,0,4.02,18.7,48,6.3,REM,2
2026/3/2 6:41,8.87,81,0,4.02,18.7,49,6.3,Core,3
2026/3/2 6:54,8.88,81,0,3.6,18.7,50,6.3,Core,3
2026/3/2 6:55,8.88,81,0,3.6,18.6,50,6.3,REM,2
2026/3/2 7:10,8.88,81,0,4.12,18.6,51,6.3,Core,3
2026/3/2 7:25,8.88,81,0,4.12,18.6,52,6.3,REM,2
2026/3/2 7:40,8.94,81,0,4.12,18.6,52,6.3,Core,3
2026/3/2 7:55,8.85,81,0,4.12,18.6,52,6.3,Core,3
2026/3/2 8:10,9.44,79,0,4.02,18.5,52,6.3,REM,2
2026/3/2 8:25,9.64,79,0,3.09,18.6,52,6.3,Core,3
