timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score
2026/3/7 0:01,7.38,90,0,3.09,22.5,44,5.97,Core,3
2026/3/7 0:16,7.3,90,0,2.24,22.6,44,5.97,Deep,4
2026/3/7 0:31,7.27,90,0,2.06,22.6,43,5.97,Deep,4
2026/3/7 0:46,7.24,90,0,2.68,22.5,43,5.97,Core,3
2026/3/7 1:01,7.15,90,0,2.57,22.3,43,5.97,Deep,4
2026/3/7 1:16,7.08,91,0,2.57,22.1,43,5.97,Core,3
2026/3/7 1:31,7.02,91,0,2.57,21.7,43,5.97,REM,2
2026/3/7 1:46,7.17,91,0,3.09,21.6,44,5.97,Core,3
2026/3/7 2:01,7.16,91,0,3.09,21.5,44,5.97,Deep,4
2026/3/7 2:16,7.17,91,0,3.09,21.5,44,5.97,Core,3
2026/3/7 2:31,6.99,93,0,2.06,21.4,44,5.97,REM,2
2026/3/7 2:46,7.06,91,0,2.57,21.4,45,5.97,Core,3
2026/3/7 3:01,7.14,91,0,2.57,21.4,45,5.97,Deep,4
2026/3/7 3:16,7.13,91,0,2.06,21.4,45,5.97,Core,3
2026/3/7 3:31,6.83,95,0,2.06,21.3,45,5.97,REM,2
2026/3/7 3:46,7.05,93,0,3.09,21.3,45,5.97,Core,3
2026/3/7 4:01,7.05,93,0,3.09,21.3,45,5.97,Deep,4
2026/3/7 4:16,6.92,93,0,2.57,21.2,45,5.97,Core,3
2026/3/7 4:31,6.88,93,0,2.57,21.1,45,5.97,Core,3
2026/3/7 4:46,6.92,91,0,2.06,21.1,45,5.97,REM,2
2026/3/7 5:01,6.73,91,0,2.06,21.1,45,5.97,Core,3
2026/3/7 5:16,6.78,91,0,2.06,21,45,5.97,Core,3
2026/3/7 5:31,6.7,91,0,2.68,21,45,5.97,Core,3
2026/3/7 5:46,6.77,91,0,2.06,20.9,45,5.97,Core,3
