timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score
2026/3/8 1:14,8.16,93,0,3.6,21.7,43,7.6,Core,3
2026/3/8 1:29,7.98,92,0,3.6,21.6,44,7.6,Deep,4
2026/3/8 1:44,7.96,93,0,3.6,21.5,44,7.6,Deep,4
2026/3/8 1:59,7.98,92,0,3.6,21.5,44,7.6,Core,3
2026/3/8 2:14,7.98,93,0,3.6,21.4,44,7.6,REM,2
2026/3/8 2:29,7.98,93,0,3.6,21.4,45,7.6,Core,3
2026/3/8 2:44,7.87,92,0,3.6,21.4,45,7.6,Deep,4
2026/3/8 2:59,7.95,92,0,3.6,21.4,45,7.6,Core,3
2026/3/8 3:14,7.88,92,0,4.12,21.3,45,7.6,REM,2
2026/3/8 3:29,7.91,93,0,4.12,21.3,45,7.6,Core,3
2026/3/8 3:44,7.91,93,0,3.6,21.3,45,7.6,REM,2
2026/3/8 3:59,7.91,93,0,3.6,21.2,45,7.6,Core,3
2026/3/8 4:14,7.81,93,0,5.66,21.1,45,7.6,REM,2
2026/3/8 4:29,7.69,93,0,5.66,21.1,45,7.6,Core,3
2026/3/8 4:44,7.69,93,0,5.14,21.1,45,7.6,Core,3
2026/3/8 4:59,7.69,93,0,5.14,21,45,7.6,REM,2
2026/3/8 5:14,7.68,93,0,4.12,21,45,7.6,Core,3
2026/3/8 5:29,7.57,93,0,4.12,20.9,45,7.6,REM,2
2026/3/8 5:44,7.49,94,0,4.63,20.9,45,7.6,Core,3
2026/3/8 6:00,7.46,94,0,4.63,20.8,45,7.6,Core,3
2026/3/8 6:15,7.45,94,0,5.14,20.8,45,7.6,REM,2
2026/3/8 6:30,7.4,94,0,5.14,20.8,45,7.6,Core,3
2026/3/8 6:45,7.34,94,0,4.63,20.8,45,7.6,REM,2
2026/3/8 7:00,7.4,94,0,4.63,20.8,45,7.6,Core,3
2026/3/8 7:15,7.37,94,0,3.6,20.8,45,7.6,REM,2
2026/3/8 7:30,7.37,94,0,3.6,20.8,45,7.6,Core,3
2026/3/8 7:45,7.35,94,0,3.6,20.7,45,7.6,Core,3
2026/3/8 8:00,7.38,94,0,3.6,20.7,45,7.6,REM,2
2026/3/8 8:15,7.36,94,0,4.63,20.7,45,7.6,Core,3
2026/3/8 8:30,7.36,94,0,4.63,20.7,45,7.6,REM,2
