timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score
2026/3/3 0:12,7.97,86,0,0.89,19.4,52,7.38,Core,3
2026/3/3 0:27,7.93,87,0,0.89,19.4,52,7.38,Deep,4
2026/3/3 0:42,7.68,87,0,0.51,19.4,52,7.38,Core,3
2026/3/3 0:57,8.05,86,0,0.51,19.4,52,7.38,Deep,4
2026/3/3 1:12,7.32,88,0,0,19.4,52,7.38,Core,3
2026/3/3 1:27,7.75,87,0,0.45,19.4,52,7.38,REM,2
2026/3/3 1:42,7.38,88,0,1.03,19.4,52,7.38,Core,3
2026/3/3 1:57,6.83,89,0,1.03,19.4,52,7.38,Deep,4
2026/3/3 2:12,6.82,90,0,0.51,19.5,52,7.38,Core,3
2026/3/3 2:27,7.01,89,0,0.51,19.6,52,7.38,REM,2
2026/3/3 2:42,6.82,89,0,1.03,19.7,52,7.38,Core,3
2026/3/3 2:57,6.86,89,0,1.03,19.8,51,7.38,Core,3
2026/3/3 3:12,6.89,90,0,1.54,19.9,51,7.38,REM,2
2026/3/3 3:27,6.6,90,0,1.54,19.9,51,7.38,Core,3
2026/3/3 3:42,7.05,88,0,1.03,19.9,51,7.38,REM,2
2026/3/3 3:57,7.2,88,0,1.03,20,51,7.38,Core,3
2026/3/3 4:12,7.18,89,0,0.45,20,51,7.38,Core,3
2026/3/3 4:27,7.18,89,0,0.45,20.1,51,7.38,REM,2
2026/3/3 4:42,7.51,88,0,1.03,20.1,51,7.38,Core,3
2026/3/3 4:57,7.44,89,0,1.03,20.1,51,7.38,Core,3
2026/3/3 5:13,7.66,89,0,1.03,20.1,50,7.38,REM,2
2026/3/3 5:28,7.31,89,0,0.51,20.2,50,7.38,Core,3
2026/3/3 5:43,6.99,90,0,0.89,20.2,50,7.38,Core,3
2026/3/3 5:58,7.09,90,0,0.51,20.2,50,7.38,REM,2
2026/3/3 6:13,6.79,90,0,1.54,20.2,51,7.38,Core,3
2026/3/3 6:28,6.55,90,0,1.54,20.2,52,7.38,REM,2
2026/3/3 6:43,6.5,90,0,1.03,20.3,52,7.38,Core,3
2026/3/3 6:58,6.52,90,0,1.03,20.3,52,7.38,REM,2
2026/3/3 7:13,6.47,91,0,1.03,20.4,52,7.38,Core,3
