timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score
2026/3/7 1:16,7.08,91,0,2.57,22.7,47,7.82,Core,3
2026/3/7 1:31,7.02,91,0,2.57,22.6,47,7.82,REM,2
2026/3/7 1:46,7.17,91,0,3.09,22.6,47,7.82,Core,3
2026/3/7 2:01,7.16,91,0,3.09,22.5,47,7.82,Deep,4
2026/3/7 2:16,7.17,91,0,3.09,22.4,47,7.82,Core,3
2026/3/7 2:31,6.99,93,0,2.06,22.4,47,7.82,Deep,4
2026/3/7 2:46,7.06,91,0,2.57,22.3,47,7.82,Core,3
2026/3/7 3:01,7.14,91,0,2.57,22.3,47,7.82,REM,2
2026/3/7 3:16,7.13,91,0,2.06,22.3,48,7.82,Core,3
2026/3/7 3:31,6.83,95,0,2.06,22.2,48,7.82,Deep,4
2026/3/7 3:46,7.05,93,0,3.09,22.2,48,7.82,Core,3
2026/3/7 4:01,7.05,93,0,3.09,22.1,48,7.82,REM,2
2026/3/7 4:16,6.92,93,0,2.57,22.1,48,7.82,Core,3
2026/3/7 4:31,6.88,93,0,2.57,22,48,7.82,REM,2
2026/3/7 4:46,6.92,91,0,2.06,22,48,7.82,Core,3
2026/3/7 5:01,6.73,91,0,2.06,22,48,7.82,Deep,4
2026/3/7 5:16,6.78,91,0,2.06,22,48,7.82,Core,3
2026/3/7 5:31,6.7,91,0,2.68,22,48,7.82,REM,2
2026/3/7 5:46,6.77,91,0,2.06,21.9,48,7.82,Core,3
2026/3/7 6:01,6.68,91,0,2.06,22,48,7.82,REM,2
2026/3/7 6:16,6.57,92,0,2.06,21.9,48,7.82,Core,3
2026/3/7 6:31,6.61,92,0,2.06,21.9,48,7.82,REM,2
2026/3/7 6:47,6.59,92,0,2.06,21.8,48,7.82,Core,3
2026/3/7 7:02,6.72,92,0,2.24,21.8,47,7.82,REM,2
2026/3/7 7:17,6.72,92,0,2.57,21.7,47,7.82,Core,3
2026/3/7 7:32,6.83,93,0,2.57,21.6,47,7.82,Core,3
2026/3/7 7:47,7.05,93,0,2.57,21.6,47,7.82,REM,2
2026/3/7 8:02,7.12,91,0,2.68,21.6,47,7.82,Core,3
2026/3/7 8:17,7.04,94,0,2.68,21.6,47,7.82,REM,2
2026/3/7 8:32,7.04,94,0,2.57,21.6,47,7.82,Core,3
2026/3/7 8:47,7.09,94,0,3.09,21.5,47,7.82,REM,2
