timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score
2026/2/27 0:32,11.35,85,3.45,5.66,20.8,53,4.8,Core,3
2026/2/27 0:47,11.22,86,0.85,7.2,20.8,52,4.8,Deep,4
2026/2/27 1:02,11.17,86,0.86,7.2,20.8,52,4.8,Deep,4
2026/2/27 1:17,11.14,87,0.38,5.66,20.7,51,4.8,Core,3
2026/2/27 1:32,11.09,87,0.56,5.66,20.7,51,4.8,REM,2
2026/2/27 1:47,11.02,87,0.56,5.66,20.7,51,4.8,Core,3
2026/2/27 2:02,10.94,87,0.14,5.66,20.4,51,4.8,Deep,4
2026/2/27 2:17,10.79,88,0.3,6.17,20.3,51,4.8,Core,3
2026/2/27 2:32,10.79,87,0.53,6.17,20.2,51,4.8,REM,2
2026/2/27 2:47,10.76,88,1.15,4.47,20.1,51,4.8,Core,3
2026/2/27 3:02,10.57,88,1.28,4.02,20.1,51,4.8,REM,2
2026/2/27 3:17,10.6,88,0.75,5.36,20.1,52,4.8,Core,3
2026/2/27 3:32,10.6,89,0.32,5.14,20,52,4.8,REM,2
2026/2/27 3:48,10.46,89,0.37,4.02,20,52,4.8,Core,3
2026/2/27 4:03,10.55,89,0.21,3.6,20,53,4.8,REM,2
2026/2/27 4:18,10.44,89,0.16,5.14,20,53,4.8,Core,3
2026/2/27 4:33,10.49,89,0.18,5.14,20,53,4.8,REM,2
2026/2/27 4:48,10.49,89,0,5.14,20,53,4.8,Core,3
2026/2/27 5:03,10.49,89,0,5.14,20,53,4.8,REM,2
2026/2/27 5:18,10.4,89,0.24,5.14,20,53,4.8,Core,3
