time,temp_c,feels_like_c,humidity_%,weather,wind_speed_m/s,pressure_hPa,clouds_%
01:30,,,,,,,
02:30,,,,,,,
03:30,,,,,,,
04:30,,,,,,,
05:30,,,,,,,
06:30,,,,,,,
07:30,,,,,,,
08:30,,,,,,,
