timestamp,outdoor_temperature,outdoor_humidity,precipitation,wind_speed,inside_temperature,inside_humidity,sleep time,sleep_stage,sleep_score
2026/3/4 0:00,6.81,87,0,4.63,18.6,45,9,Core,3
2026/3/4 0:15,6.64,88,0,4.12,18.6,46,9,Deep,4
2026/3/4 0:30,6.57,88,0,4.12,18.7,46,9,Core,3
2026/3/4 0:45,6.57,88,0,4.12,18.7,46,9,REM,2
2026/3/4 1:00,6.45,89,0,4.12,18.7,46,9,Core,3
2026/3/4 1:15,6.48,89,0,4.12,18.7,46,9,Deep,4
2026/3/4 1:30,6.4,89,0,4.12,18.8,46,9,Deep,4
2026/3/4 1:45,6.27,89,0,3.6,18.9,47,9,Core,3
2026/3/4 2:00,6.27,90,0,3.6,20,47,9,REM,2
2026/3/4 2:15,6.35,90,0,4.12,20,47,9,Core,3
2026/3/4 2:30,6.19,90,0,4.12,20.1,47,9,Deep,4
2026/3/4 2:45,6.29,89,0,4.12,20.2,47,9,Core,3
2026/3/4 3:00,6.32,90,0,4.12,20.2,47,9,REM,2
2026/3/4 3:15,6.36,89,0,4.12,20.2,48,9,Core,3
2026/3/4 3:30,6.36,89,0,4.12,20.2,48,9,Core,3
2026/3/4 3:45,6.37,90,0,3.6,20.3,48,9,REM,2
2026/3/4 4:00,6.44,89,0,3.6,20.2,48,9,Core,3
2026/3/4 4:15,6.33,90,0,4.12,20.3,48,9,Core,3
2026/3/4 4:30,6.49,90,0,4.12,20.3,49,9,REM,2
2026/3/4 4:45,6.37,91,0,2.68,20.3,49,9,Core,3
2026/3/4 5:00,6.37,91,0,2.24,20.3,49,9,Core,3
2026/3/4 5:15,6.53,91,0,2.06,20.4,50,9,REM,2
2026/3/4 5:30,6.39,91,0,3.25,20.6,49,9,Core,3
2026/3/4 5:45,6.41,91,0,3.21,20.7,49,9,Core,3
2026/3/4 6:00,6.43,92,0,3.18,20.7,49,9,REM,2
2026/3/4 6:15,6.45,92,0,3.14,20.7,49,9,Core,3
2026/3/4 6:30,6.48,92,0,3.11,20.8,50,9,Core,3
2026/3/4 6:45,6.5,92,0,3.08,20.8,50,9,REM,2
2026/3/4 7:00,6.53,92,0,3.05,20.8,50,9,Core,3
2026/3/4 7:15,6.57,93,0,3.02,20.8,50,9,Core,3
2026/3/4 7:30,6.6,93,0,2.99,20.8,50,9,Core,3
2026/3/4 7:45,6.64,93,0,2.96,20.8,50,9,Core,3
2026/3/4 8:00,6.68,93,0,2.94,20.8,50,9,Core,3
2026/3/4 8:15,6.72,93,0,2.92,20.8,50,9,Core,3
2026/3/4 8:25,6.66,95,0,3.09,20.8,50,9,Core,3
2026/3/4 8:40,6.82,93,0,3.09,20.8,50,9,Core,3
